File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Platform	Controlled by	File Status	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF000XFO	bam	alignments	ENCSR000EDI	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				rabbit-IgG-control-human	DNA		see document	see document		False	2011-10-29	ENCODE				1							ENCFF000XKW	2247398514	Michael Snyder, Stanford	52ec8cd51857834a34e1e011a7e954af		https://www.encodeproject.org/files/ENCFF000XFO/@@download/ENCFF000XFO.bam	hg19			archived			insufficient read length	
ENCFF000XKW	fastq	reads	ENCSR000EDI	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				rabbit-IgG-control-human	DNA		see document	see document		False	2011-10-29	ENCODE				1	1	27		single-ended				1640854431	Michael Snyder, Stanford	b81c18fadb8c64a1bd5a86b7d42f41d8		https://www.encodeproject.org/files/ENCFF000XKW/@@download/ENCFF000XKW.fastq.gz		Illumina Genome Analyzer		released			insufficient read length	
ENCFF469INX	bam	alignments	ENCSR000EDI	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				rabbit-IgG-control-human	DNA		see document	see document		False	2011-10-29	ENCODE				1			27				ENCFF000XKW, ENCFF807MUK	1166007561	ENCODE Processing Pipeline	1143de2f5b700da07d9d4b848ea28601		https://www.encodeproject.org/files/ENCFF469INX/@@download/ENCFF469INX.bam	hg19			released			insufficient read length	
ENCFF565WKC	bam	unfiltered alignments	ENCSR000EDI	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				rabbit-IgG-control-human	DNA		see document	see document		False	2011-10-29	ENCODE				1			27				ENCFF000XKW, ENCFF807MUK	2250329380	ENCODE Processing Pipeline	09893c767e09115575c2d111d84da615		https://www.encodeproject.org/files/ENCFF565WKC/@@download/ENCFF565WKC.bam	hg19			released			insufficient read length	
ENCFF276BNG	bam	unfiltered alignments	ENCSR000EDI	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				rabbit-IgG-control-human	DNA		see document	see document		False	2011-10-29	ENCODE				1			27				ENCFF000XKW, ENCFF643CGH	2259455683	ENCODE Processing Pipeline	0690c7a71961ad7d27532191e7e27af5		https://www.encodeproject.org/files/ENCFF276BNG/@@download/ENCFF276BNG.bam	GRCh38			released			insufficient read length	
ENCFF436WVQ	bam	alignments	ENCSR000EDI	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				rabbit-IgG-control-human	DNA		see document	see document		False	2011-10-29	ENCODE				1			27				ENCFF000XKW, ENCFF643CGH	1164993164	ENCODE Processing Pipeline	69638b1b3de9b5aa1c430e1441e3c116		https://www.encodeproject.org/files/ENCFF436WVQ/@@download/ENCFF436WVQ.bam	GRCh38			released			insufficient read length	
ENCFF746HJM	bam	unfiltered alignments	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				1			36				ENCFF002EDD, ENCFF807MUK	1342342682	ENCODE Processing Pipeline	7a22a3777da978d61fc627223365d990		https://www.encodeproject.org/files/ENCFF746HJM/@@download/ENCFF746HJM.bam	hg19			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF321OPI	bam	unfiltered alignments	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				3			36				ENCFF002EDL, ENCFF807MUK	1130478915	ENCODE Processing Pipeline	bb1a21f6bba4d4186d4dae76a605349c		https://www.encodeproject.org/files/ENCFF321OPI/@@download/ENCFF321OPI.bam	hg19			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF002EDD	fastq	reads	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				1	1	36		single-ended				1088761192	Michael Snyder, Stanford	fa458b93e1ffa96739eb0360f8fc3b50		https://www.encodeproject.org/files/ENCFF002EDD/@@download/ENCFF002EDD.fastq.gz		Illumina Genome Analyzer IIx	/files/ENCFF002ECN/	released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF002EDL	fastq	reads	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				3	1	36		single-ended				902581408	Michael Snyder, Stanford	68dcdd8102fa76a2bbbeb64709503bff		https://www.encodeproject.org/files/ENCFF002EDL/@@download/ENCFF002EDL.fastq.gz		Illumina Genome Analyzer IIx	/files/ENCFF002ECO/	released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF407ZMZ	bam	alignments	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				1			36				ENCFF002EDD, ENCFF807MUK	910437904	ENCODE Processing Pipeline	ab78e7d7d00a745af9181c4d2f6e4f85		https://www.encodeproject.org/files/ENCFF407ZMZ/@@download/ENCFF407ZMZ.bam	hg19			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF252WWC	bam	alignments	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				3			36				ENCFF002EDL, ENCFF807MUK	789020340	ENCODE Processing Pipeline	47918ce17d6fe257c312a800260a5c78		https://www.encodeproject.org/files/ENCFF252WWC/@@download/ENCFF252WWC.bam	hg19			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF398YHQ	bigWig	signal p-value	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				1							ENCFF316UXC, ENCFF407ZMZ	636306121	ENCODE Processing Pipeline	bb26a89f73051d4d741fcb0b4f324199		https://www.encodeproject.org/files/ENCFF398YHQ/@@download/ENCFF398YHQ.bigWig	hg19			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF390ZKR	bigWig	signal p-value	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				1, 3							ENCFF252WWC, ENCFF316UXC, ENCFF407ZMZ, ENCFF939XHK	935461017	ENCODE Processing Pipeline	a2877b5cef2fecf7c2b4b0c55d2457a9		https://www.encodeproject.org/files/ENCFF390ZKR/@@download/ENCFF390ZKR.bigWig	hg19			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF980IVM	bigWig	fold change over control	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				1							ENCFF316UXC, ENCFF407ZMZ	423739838	ENCODE Processing Pipeline	46fd97d7fc76c9ace2cd6b62272408ad		https://www.encodeproject.org/files/ENCFF980IVM/@@download/ENCFF980IVM.bigWig	hg19			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF454WZU	bigWig	fold change over control	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				1, 3							ENCFF252WWC, ENCFF316UXC, ENCFF407ZMZ, ENCFF939XHK	922784683	ENCODE Processing Pipeline	e3564da5f322ec0905e7905c763067e3		https://www.encodeproject.org/files/ENCFF454WZU/@@download/ENCFF454WZU.bigWig	hg19			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF098SEH	bam	unfiltered alignments	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				1			36				ENCFF002EDD, ENCFF643CGH	1348928861	ENCODE Processing Pipeline	75214cb08424abb8adfed1f0dace4f42		https://www.encodeproject.org/files/ENCFF098SEH/@@download/ENCFF098SEH.bam	GRCh38			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF740DJC	bam	unfiltered alignments	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				3			36				ENCFF002EDL, ENCFF643CGH	1136663446	ENCODE Processing Pipeline	81b5cf9b5898a10a934cedec92bce25c		https://www.encodeproject.org/files/ENCFF740DJC/@@download/ENCFF740DJC.bam	GRCh38			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF466OUZ	bam	alignments	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				3			36				ENCFF002EDL, ENCFF643CGH	788679718	ENCODE Processing Pipeline	659b4dda969294a7f711bb55bd1a979c		https://www.encodeproject.org/files/ENCFF466OUZ/@@download/ENCFF466OUZ.bam	GRCh38			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF210QWJ	bam	alignments	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				1			36				ENCFF002EDD, ENCFF643CGH	910031556	ENCODE Processing Pipeline	23d0663afaf6d39023044a4aeec46591		https://www.encodeproject.org/files/ENCFF210QWJ/@@download/ENCFF210QWJ.bam	GRCh38			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF467FZY	bigWig	signal p-value	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				1							ENCFF210QWJ, ENCFF459QXO	544076173	ENCODE Processing Pipeline	038e2e19b8823efee876d06f9b598eeb		https://www.encodeproject.org/files/ENCFF467FZY/@@download/ENCFF467FZY.bigWig	GRCh38			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF955VYF	bigWig	signal p-value	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				3							ENCFF466OUZ, ENCFF714ZPY	522763837	ENCODE Processing Pipeline	bab28813816a82f0102fe2eaeaa498c7		https://www.encodeproject.org/files/ENCFF955VYF/@@download/ENCFF955VYF.bigWig	GRCh38			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF994RHN	bigWig	signal p-value	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				1, 3							ENCFF210QWJ, ENCFF459QXO, ENCFF466OUZ, ENCFF714ZPY	986394937	ENCODE Processing Pipeline	77019e4df9663f5fb3716e7f0061e0f1		https://www.encodeproject.org/files/ENCFF994RHN/@@download/ENCFF994RHN.bigWig	GRCh38			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF409SKK	bigBed narrowPeak	peaks and background as input for IDR	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				1							ENCFF461AMQ	10588396	ENCODE Processing Pipeline	a80cc144c5f3a55ad479d85fb032ca43		https://www.encodeproject.org/files/ENCFF409SKK/@@download/ENCFF409SKK.bigBed	GRCh38			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF680AMS	bigWig	fold change over control	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				1							ENCFF210QWJ, ENCFF459QXO	423601934	ENCODE Processing Pipeline	615c57fd7798704b7159492e42a8e325		https://www.encodeproject.org/files/ENCFF680AMS/@@download/ENCFF680AMS.bigWig	GRCh38			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF125TNP	bigBed narrowPeak	conservative idr thresholded peaks	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				1, 3							ENCFF179BYY	145003	ENCODE Processing Pipeline	2b610440e10959b1ce9286b45df0a72f		https://www.encodeproject.org/files/ENCFF125TNP/@@download/ENCFF125TNP.bigBed	GRCh38			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF131KXO	bigWig	fold change over control	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				3							ENCFF466OUZ, ENCFF714ZPY	401582433	ENCODE Processing Pipeline	29aa52ff81f9e5a66332ee687b9177c3		https://www.encodeproject.org/files/ENCFF131KXO/@@download/ENCFF131KXO.bigWig	GRCh38			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF429XQI	bed narrowPeak	optimal idr thresholded peaks	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				1, 3							ENCFF280BJI, ENCFF419RSJ, ENCFF461AMQ, ENCFF810XCD	62685	ENCODE Processing Pipeline	c80c3182503410a6ef5c34d81d577eb0		https://www.encodeproject.org/files/ENCFF429XQI/@@download/ENCFF429XQI.bed.gz	GRCh38			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF600GRJ	bigBed narrowPeak	optimal idr thresholded peaks	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				1, 3							ENCFF429XQI	154148	ENCODE Processing Pipeline	13d39260249b93761667d08300fb4b2a		https://www.encodeproject.org/files/ENCFF600GRJ/@@download/ENCFF600GRJ.bigBed	GRCh38			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF810XCD	bed narrowPeak	peaks and background as input for IDR	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				1, 3							ENCFF210QWJ, ENCFF459QXO, ENCFF466OUZ, ENCFF714ZPY	5756042	ENCODE Processing Pipeline	eb26686f129aa34560cf7f238ac6799e		https://www.encodeproject.org/files/ENCFF810XCD/@@download/ENCFF810XCD.bed.gz	GRCh38			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF940YAF	bigWig	fold change over control	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				1, 3							ENCFF210QWJ, ENCFF459QXO, ENCFF466OUZ, ENCFF714ZPY	921350609	ENCODE Processing Pipeline	08d6cbec866a79dbc5acc6d6529ad88e		https://www.encodeproject.org/files/ENCFF940YAF/@@download/ENCFF940YAF.bigWig	GRCh38			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF280BJI	bed narrowPeak	peaks and background as input for IDR	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				3							ENCFF466OUZ, ENCFF714ZPY	4551514	ENCODE Processing Pipeline	046b44f7cff197fa98bb99fdeffbf6c6		https://www.encodeproject.org/files/ENCFF280BJI/@@download/ENCFF280BJI.bed.gz	GRCh38			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF988QFK	bigBed narrowPeak	peaks and background as input for IDR	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				3							ENCFF280BJI	10835095	ENCODE Processing Pipeline	dd8c61d0b2509e930118a004c1334aae		https://www.encodeproject.org/files/ENCFF988QFK/@@download/ENCFF988QFK.bigBed	GRCh38			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF837APB	bigBed narrowPeak	peaks and background as input for IDR	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				1, 3							ENCFF810XCD	11321511	ENCODE Processing Pipeline	6e24cb4d1ea4f41d9b0a9535f3779511		https://www.encodeproject.org/files/ENCFF837APB/@@download/ENCFF837APB.bigBed	GRCh38			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF461AMQ	bed narrowPeak	peaks and background as input for IDR	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				1							ENCFF210QWJ, ENCFF459QXO	4058330	ENCODE Processing Pipeline	e3bd572a56433fe7e6166b0fd78ff416		https://www.encodeproject.org/files/ENCFF461AMQ/@@download/ENCFF461AMQ.bed.gz	GRCh38			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF179BYY	bed narrowPeak	conservative idr thresholded peaks	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				1, 3							ENCFF280BJI, ENCFF419RSJ, ENCFF461AMQ, ENCFF810XCD	51865	ENCODE Processing Pipeline	3699c0269f5e7f01bd1fac2131b11154		https://www.encodeproject.org/files/ENCFF179BYY/@@download/ENCFF179BYY.bed.gz	GRCh38			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF349UUA	bigWig	signal p-value	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				3							ENCFF252WWC, ENCFF939XHK	524965240	ENCODE Processing Pipeline	6fc6bfdbf29ca765a3c87bc68aa744e2		https://www.encodeproject.org/files/ENCFF349UUA/@@download/ENCFF349UUA.bigWig	hg19			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF971NCA	bigWig	fold change over control	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				3							ENCFF252WWC, ENCFF939XHK	403689602	ENCODE Processing Pipeline	d242576e0e9598576c778cc4c5893d64		https://www.encodeproject.org/files/ENCFF971NCA/@@download/ENCFF971NCA.bigWig	hg19			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF979YOQ	bed narrowPeak	peaks and background as input for IDR	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				3							ENCFF252WWC, ENCFF939XHK	4558384	ENCODE Processing Pipeline	d67f7c6f60c7ce8334aed5c21272da2e		https://www.encodeproject.org/files/ENCFF979YOQ/@@download/ENCFF979YOQ.bed.gz	hg19			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF233ITG	bed narrowPeak	peaks and background as input for IDR	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				1, 3							ENCFF252WWC, ENCFF316UXC, ENCFF407ZMZ, ENCFF939XHK	5855620	ENCODE Processing Pipeline	62da1f150d87cad5ed004706c66b1773		https://www.encodeproject.org/files/ENCFF233ITG/@@download/ENCFF233ITG.bed.gz	hg19			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF491ZMR	bed narrowPeak	peaks and background as input for IDR	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				1							ENCFF316UXC, ENCFF407ZMZ	4054862	ENCODE Processing Pipeline	973d1132b60ecc98df357eb532c91f46		https://www.encodeproject.org/files/ENCFF491ZMR/@@download/ENCFF491ZMR.bed.gz	hg19			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF525HCK	bigBed narrowPeak	peaks and background as input for IDR	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				1, 3							ENCFF233ITG	11314662	ENCODE Processing Pipeline	ebdbdcbe0ea40a16987532b5f078172b		https://www.encodeproject.org/files/ENCFF525HCK/@@download/ENCFF525HCK.bigBed	hg19			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF481XAZ	bed narrowPeak	conservative idr thresholded peaks	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				1, 3							ENCFF001TDO, ENCFF233ITG, ENCFF491ZMR, ENCFF979YOQ	51517	ENCODE Processing Pipeline	8ebcaec7887a535922654a1d6fbee699		https://www.encodeproject.org/files/ENCFF481XAZ/@@download/ENCFF481XAZ.bed.gz	hg19			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF626NOM	bigBed narrowPeak	conservative idr thresholded peaks	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				1, 3							ENCFF481XAZ	137051	ENCODE Processing Pipeline	033ef20def0f05a477c93cfa5e7c2194		https://www.encodeproject.org/files/ENCFF626NOM/@@download/ENCFF626NOM.bigBed	hg19			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF585QFK	bigBed narrowPeak	peaks and background as input for IDR	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				1							ENCFF491ZMR	10580794	ENCODE Processing Pipeline	270f38abaefa9e3d9fdc7c17b502f128		https://www.encodeproject.org/files/ENCFF585QFK/@@download/ENCFF585QFK.bigBed	hg19			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
