File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Platform	Controlled by	File Status	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF481XAZ	bed narrowPeak	conservative idr thresholded peaks	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				1, 3							ENCFF001TDO, ENCFF233ITG, ENCFF491ZMR, ENCFF979YOQ	51517	ENCODE Processing Pipeline	8ebcaec7887a535922654a1d6fbee699		https://www.encodeproject.org/files/ENCFF481XAZ/@@download/ENCFF481XAZ.bed.gz	hg19			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF640ORY	bed narrowPeak	optimal idr thresholded peaks	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				1, 3							ENCFF001TDO, ENCFF233ITG, ENCFF491ZMR, ENCFF979YOQ	61240	ENCODE Processing Pipeline	9e4bcfd497cd57be71e9c3fccf8aba30		https://www.encodeproject.org/files/ENCFF640ORY/@@download/ENCFF640ORY.bed.gz	hg19			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF001XCH	bed broadPeak	hotspots	ENCSR000DTY	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				H3K27me3-human	DNA		see document	see document		False	2011-02-11	ENCODE				1							ENCFF001FJS	2721781	John Stamatoyannopoulos, UW	d8b8572e8b7e7db877bf0c4daf55696f		https://www.encodeproject.org/files/ENCFF001XCH/@@download/ENCFF001XCH.bed.gz	hg19			archived	mild to moderate bottlenecking, low read length, moderate library complexity		insufficient read depth, control insufficient read depth	
ENCFF001XCI	bed narrowPeak	peaks	ENCSR000DTY	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				H3K27me3-human	DNA		see document	see document		False	2011-02-11	ENCODE				1							ENCFF001FJS	6374	John Stamatoyannopoulos, UW	6baeec626920b6aa1d9606d3fe25d597		https://www.encodeproject.org/files/ENCFF001XCI/@@download/ENCFF001XCI.bed.gz	hg19			archived	mild to moderate bottlenecking, low read length, moderate library complexity		insufficient read depth, control insufficient read depth	
ENCFF001XCJ	bed narrowPeak	peaks	ENCSR000DTY	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				H3K27me3-human	DNA		see document	see document		False	2011-02-11	ENCODE				2							ENCFF001FJT	8309	John Stamatoyannopoulos, UW	4b5bfa471779e9a7da5848db8f1a035c		https://www.encodeproject.org/files/ENCFF001XCJ/@@download/ENCFF001XCJ.bed.gz	hg19			archived	mild to moderate bottlenecking, low read length, moderate library complexity		insufficient read depth, control insufficient read depth	
ENCFF001XCK	bed broadPeak	hotspots	ENCSR000DTY	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				H3K27me3-human	DNA		see document	see document		False	2011-02-11	ENCODE				2							ENCFF001FJT	2638586	John Stamatoyannopoulos, UW	051efd6362b2a9ddeec189d5acde3f60		https://www.encodeproject.org/files/ENCFF001XCK/@@download/ENCFF001XCK.bed.gz	hg19			archived	mild to moderate bottlenecking, low read length, moderate library complexity		insufficient read depth, control insufficient read depth	
ENCFF122JHO	bed narrowPeak	peaks	ENCSR000DTY	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				H3K27me3-human	DNA		see document	see document		False	2011-02-11	ENCODE				1, 2							ENCFF111FGZ, ENCFF688FAK, ENCFF847OPB	400480	ENCODE Processing Pipeline	de31bbf8642dc441cbfd56f0085b1807		https://www.encodeproject.org/files/ENCFF122JHO/@@download/ENCFF122JHO.bed.gz	hg19			released	mild to moderate bottlenecking, low read length, moderate library complexity		insufficient read depth, control insufficient read depth	
ENCFF659LDA	bed narrowPeak	peaks	ENCSR000DTY	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				H3K27me3-human	DNA		see document	see document		False	2011-02-11	ENCODE				1							ENCFF111FGZ, ENCFF688FAK	2726459	ENCODE Processing Pipeline	22bae678fe42b3de160b496f2c41778a		https://www.encodeproject.org/files/ENCFF659LDA/@@download/ENCFF659LDA.bed.gz	hg19			released	mild to moderate bottlenecking, low read length, moderate library complexity		insufficient read depth, control insufficient read depth	
ENCFF078RBU	bed narrowPeak	peaks	ENCSR000DTY	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				H3K27me3-human	DNA		see document	see document		False	2011-02-11	ENCODE				2							ENCFF111FGZ, ENCFF847OPB	2629954	ENCODE Processing Pipeline	a72823267ce014a56b1a696977451f65		https://www.encodeproject.org/files/ENCFF078RBU/@@download/ENCFF078RBU.bed.gz	hg19			released	mild to moderate bottlenecking, low read length, moderate library complexity		insufficient read depth, control insufficient read depth	
ENCFF232BQP	bed narrowPeak	peaks	ENCSR000DTY	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				H3K27me3-human	DNA		see document	see document		False	2011-02-11	ENCODE				1							ENCFF883FFC, ENCFF928PZN	2614967	ENCODE Processing Pipeline	92f4afb93d2d9891aad8a60334047099		https://www.encodeproject.org/files/ENCFF232BQP/@@download/ENCFF232BQP.bed.gz	GRCh38			released	mild to moderate bottlenecking, low read length, moderate library complexity		insufficient read depth, control insufficient read depth	
ENCFF615IFA	bed narrowPeak	peaks	ENCSR000DTY	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				H3K27me3-human	DNA		see document	see document		False	2011-02-11	ENCODE				1, 2							ENCFF284GFW, ENCFF883FFC, ENCFF928PZN	399692	ENCODE Processing Pipeline	43f359e1bf5a65cb1f4f8f732d463248		https://www.encodeproject.org/files/ENCFF615IFA/@@download/ENCFF615IFA.bed.gz	GRCh38			released	mild to moderate bottlenecking, low read length, moderate library complexity		insufficient read depth, control insufficient read depth	
ENCFF252GQX	bed narrowPeak	peaks	ENCSR000DTY	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				H3K27me3-human	DNA		see document	see document		False	2011-02-11	ENCODE				2							ENCFF284GFW, ENCFF883FFC	2633069	ENCODE Processing Pipeline	b89f0501c072884b09642c93bae25123		https://www.encodeproject.org/files/ENCFF252GQX/@@download/ENCFF252GQX.bed.gz	GRCh38			released	mild to moderate bottlenecking, low read length, moderate library complexity		insufficient read depth, control insufficient read depth	
ENCFF410YQK	bed narrowPeak	replicated peaks	ENCSR000DTY	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				H3K27me3-human	DNA		see document	see document		False	2011-02-11	ENCODE				1, 2							ENCFF078RBU, ENCFF122JHO, ENCFF659LDA	225836	ENCODE Processing Pipeline	c3ca0bd7d028db0086e425cc48571dd5		https://www.encodeproject.org/files/ENCFF410YQK/@@download/ENCFF410YQK.bed.gz	hg19			released	mild to moderate bottlenecking, low read length, moderate library complexity		insufficient read depth, control insufficient read depth	
ENCFF549FQX	bed narrowPeak	replicated peaks	ENCSR000DTY	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				H3K27me3-human	DNA		see document	see document		False	2011-02-11	ENCODE				1, 2							ENCFF232BQP, ENCFF252GQX, ENCFF615IFA	223768	ENCODE Processing Pipeline	fbb63da5bb7d61d373b431c358365ead		https://www.encodeproject.org/files/ENCFF549FQX/@@download/ENCFF549FQX.bed.gz	GRCh38			released	mild to moderate bottlenecking, low read length, moderate library complexity		insufficient read depth, control insufficient read depth	
ENCFF001SVR	bed broadPeak	peaks	ENCSR000AOA	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				CTCF-human	DNA		see document	see document		False	2011-02-10	ENCODE												1488744	Bradley Bernstein, Broad	207c37c4201187417631f769dcfc743d		https://www.encodeproject.org/files/ENCFF001SVR/@@download/ENCFF001SVR.bed.gz	hg19			archived	mild to moderate bottlenecking, low read length, low read depth, moderate library complexity	missing derived_from		
ENCFF002CDW	bed narrowPeak	optimal idr thresholded peaks	ENCSR000AOA	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				CTCF-human	DNA		see document	see document		False	2011-02-10	ENCODE												1041888	ENCODE Consortium Analysis Working Group	b72dd7d21c8e29fbd69c073cfded6de8		https://www.encodeproject.org/files/ENCFF002CDW/@@download/ENCFF002CDW.bed.gz	hg19			archived	mild to moderate bottlenecking, low read length, low read depth, moderate library complexity	missing derived_from		
ENCFF587DOH	bed narrowPeak	peaks and background as input for IDR	ENCSR000AOA	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				CTCF-human	DNA		see document	see document		False	2011-02-10	ENCODE				1, 2							ENCFF144LJX, ENCFF432JPE, ENCFF610QSE, ENCFF818YAG	6417671	ENCODE Processing Pipeline	3c8d516e56eed2bd158423f729d4b767		https://www.encodeproject.org/files/ENCFF587DOH/@@download/ENCFF587DOH.bed.gz	GRCh38			released	mild to moderate bottlenecking, low read length, low read depth, moderate library complexity			
ENCFF862FGB	bed narrowPeak	peaks and background as input for IDR	ENCSR000AOA	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				CTCF-human	DNA		see document	see document		False	2011-02-10	ENCODE				1							ENCFF432JPE, ENCFF610QSE, ENCFF818YAG	5656694	ENCODE Processing Pipeline	adb19b65a4dc2cf99a112b6901f37ea2		https://www.encodeproject.org/files/ENCFF862FGB/@@download/ENCFF862FGB.bed.gz	GRCh38			released	mild to moderate bottlenecking, low read length, low read depth, moderate library complexity			
ENCFF331BAX	bed narrowPeak	peaks and background as input for IDR	ENCSR000AOA	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				CTCF-human	DNA		see document	see document		False	2011-02-10	ENCODE				2							ENCFF144LJX, ENCFF432JPE, ENCFF818YAG	6094548	ENCODE Processing Pipeline	76fda81376ea74a23fbbba780398000f		https://www.encodeproject.org/files/ENCFF331BAX/@@download/ENCFF331BAX.bed.gz	GRCh38			released	mild to moderate bottlenecking, low read length, low read depth, moderate library complexity			
ENCFF533TKY	bed narrowPeak	conservative idr thresholded peaks	ENCSR000AOA	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				CTCF-human	DNA		see document	see document		False	2011-02-10	ENCODE				1, 2							ENCFF331BAX, ENCFF419RSJ, ENCFF587DOH, ENCFF862FGB	766097	ENCODE Processing Pipeline	1baf416137fbbd33ecefaf6cc3dc443d		https://www.encodeproject.org/files/ENCFF533TKY/@@download/ENCFF533TKY.bed.gz	GRCh38			released	mild to moderate bottlenecking, low read length, low read depth, moderate library complexity			
ENCFF502CZS	bed narrowPeak	optimal idr thresholded peaks	ENCSR000AOA	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				CTCF-human	DNA		see document	see document		False	2011-02-10	ENCODE				1, 2							ENCFF331BAX, ENCFF419RSJ, ENCFF587DOH, ENCFF862FGB	765478	ENCODE Processing Pipeline	27a08fe1979a7add3ee607a4b2b44c58		https://www.encodeproject.org/files/ENCFF502CZS/@@download/ENCFF502CZS.bed.gz	GRCh38			released	mild to moderate bottlenecking, low read length, low read depth, moderate library complexity			
ENCFF915PWP	bed narrowPeak	peaks and background as input for IDR	ENCSR000AOA	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				CTCF-human	DNA		see document	see document		False	2011-02-10	ENCODE				2							ENCFF163WNN, ENCFF385UZW, ENCFF451SVK	6100374	ENCODE Processing Pipeline	f668df82c5013c3dc11ee7147f514f74		https://www.encodeproject.org/files/ENCFF915PWP/@@download/ENCFF915PWP.bed.gz	hg19			released	mild to moderate bottlenecking, low read length, low read depth, moderate library complexity			
ENCFF474KGT	bed narrowPeak	peaks and background as input for IDR	ENCSR000AOA	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				CTCF-human	DNA		see document	see document		False	2011-02-10	ENCODE				1							ENCFF385UZW, ENCFF451SVK, ENCFF474UIC	5658490	ENCODE Processing Pipeline	ce82950f0f188ee5cb89e908c11c76ea		https://www.encodeproject.org/files/ENCFF474KGT/@@download/ENCFF474KGT.bed.gz	hg19			released	mild to moderate bottlenecking, low read length, low read depth, moderate library complexity			
ENCFF652AZC	bed narrowPeak	peaks and background as input for IDR	ENCSR000AOA	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				CTCF-human	DNA		see document	see document		False	2011-02-10	ENCODE				1, 2							ENCFF163WNN, ENCFF385UZW, ENCFF451SVK, ENCFF474UIC	6417564	ENCODE Processing Pipeline	76a1fc29b32a869c663f2521df329753		https://www.encodeproject.org/files/ENCFF652AZC/@@download/ENCFF652AZC.bed.gz	hg19			released	mild to moderate bottlenecking, low read length, low read depth, moderate library complexity			
ENCFF768OPK	bed narrowPeak	optimal idr thresholded peaks	ENCSR000AOA	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				CTCF-human	DNA		see document	see document		False	2011-02-10	ENCODE				1, 2							ENCFF001TDO, ENCFF474KGT, ENCFF652AZC, ENCFF915PWP	770935	ENCODE Processing Pipeline	37dbe73e85937bacc0dd37a6cd7e6353		https://www.encodeproject.org/files/ENCFF768OPK/@@download/ENCFF768OPK.bed.gz	hg19			released	mild to moderate bottlenecking, low read length, low read depth, moderate library complexity			
ENCFF002IEC	bed narrowPeak	conservative idr thresholded peaks	ENCSR000AOA	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				CTCF-human	DNA		see document	see document		False	2011-02-10	ENCODE				1, 2							ENCFF001TDO, ENCFF474KGT, ENCFF652AZC, ENCFF915PWP	765950	ENCODE Processing Pipeline	b356c593a865233f73efe90392d8f3f5		https://www.encodeproject.org/files/ENCFF002IEC/@@download/ENCFF002IEC.bed.gz	hg19			released	mild to moderate bottlenecking, low read length, low read depth, moderate library complexity			
ENCFF001VJH	bed narrowPeak	peaks	ENCSR000ECS	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				SMC3-human	DNA		see document	see document		False	2011-10-29	ENCODE												1496775	Michael Snyder, Stanford	41013ec96d6195638cc7c17b7c3f0e2b		https://www.encodeproject.org/files/ENCFF001VJH/@@download/ENCFF001VJH.bed.gz	hg19			released	low read length	biological replicates with identical biosample, missing derived_from		
ENCFF002CTE	bed narrowPeak	optimal idr thresholded peaks	ENCSR000ECS	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				SMC3-human	DNA		see document	see document		False	2011-10-29	ENCODE												939484	ENCODE Consortium Analysis Working Group	4fbd9b20cc5b419c3086e3ca689fe9ee		https://www.encodeproject.org/files/ENCFF002CTE/@@download/ENCFF002CTE.bed.gz	hg19			released	low read length	biological replicates with identical biosample, missing derived_from		
ENCFF001VIR	bed narrowPeak	peaks	ENCSR000ECK	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				MAFK-human	DNA		see document	see document		False	2012-05-14	ENCODE				1, 2							ENCFF000XGS, ENCFF000XGT	988006	Michael Snyder, Stanford	4bc54fd891b99f2ea8980fb2e47b754d		https://www.encodeproject.org/files/ENCFF001VIR/@@download/ENCFF001VIR.bed.gz	hg19			archived	borderline replicate concordance, inconsistent target of control experiment, low read length, low read depth	biological replicates with identical biosample, inconsistent mapped reads lengths		
ENCFF002CSQ	bed narrowPeak	optimal idr thresholded peaks	ENCSR000ECK	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				MAFK-human	DNA		see document	see document		False	2012-05-14	ENCODE				1, 2							ENCFF000XGS, ENCFF000XGT	365040	ENCODE Consortium Analysis Working Group	99d5d60d4701464dd198090fa82bf9e1		https://www.encodeproject.org/files/ENCFF002CSQ/@@download/ENCFF002CSQ.bed.gz	hg19			archived	borderline replicate concordance, inconsistent target of control experiment, low read length, low read depth	biological replicates with identical biosample, inconsistent mapped reads lengths		
ENCFF796KTU	bed narrowPeak	peaks and background as input for IDR	ENCSR000ECK	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				MAFK-human	DNA		see document	see document		False	2012-05-14	ENCODE				2							ENCFF407WOE, ENCFF469INX	4669056	ENCODE Processing Pipeline	b080662a3d8db6a185fd4615947e906f		https://www.encodeproject.org/files/ENCFF796KTU/@@download/ENCFF796KTU.bed.gz	hg19			released	borderline replicate concordance, inconsistent target of control experiment, low read length, low read depth	biological replicates with identical biosample, inconsistent mapped reads lengths		
ENCFF405BKG	bed narrowPeak	optimal idr thresholded peaks	ENCSR000ECK	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				MAFK-human	DNA		see document	see document		False	2012-05-14	ENCODE				1, 2							ENCFF001TDO, ENCFF123SPG, ENCFF742HOV, ENCFF796KTU	323459	ENCODE Processing Pipeline	883649f54d85c599af51713df8eb0cf7		https://www.encodeproject.org/files/ENCFF405BKG/@@download/ENCFF405BKG.bed.gz	hg19			released	borderline replicate concordance, inconsistent target of control experiment, low read length, low read depth	biological replicates with identical biosample, inconsistent mapped reads lengths		
ENCFF123SPG	bed narrowPeak	peaks and background as input for IDR	ENCSR000ECK	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				MAFK-human	DNA		see document	see document		False	2012-05-14	ENCODE				1							ENCFF405VXR, ENCFF469INX	5685175	ENCODE Processing Pipeline	8d86ae5c11dc6fe954a9bda697b56b7e		https://www.encodeproject.org/files/ENCFF123SPG/@@download/ENCFF123SPG.bed.gz	hg19			released	borderline replicate concordance, inconsistent target of control experiment, low read length, low read depth	biological replicates with identical biosample, inconsistent mapped reads lengths		
ENCFF416IPZ	bed narrowPeak	conservative idr thresholded peaks	ENCSR000ECK	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				MAFK-human	DNA		see document	see document		False	2012-05-14	ENCODE				1, 2							ENCFF001TDO, ENCFF123SPG, ENCFF742HOV, ENCFF796KTU	238122	ENCODE Processing Pipeline	b6141db47891f3dcba8cdfc010241434		https://www.encodeproject.org/files/ENCFF416IPZ/@@download/ENCFF416IPZ.bed.gz	hg19			released	borderline replicate concordance, inconsistent target of control experiment, low read length, low read depth	biological replicates with identical biosample, inconsistent mapped reads lengths		
ENCFF742HOV	bed narrowPeak	peaks and background as input for IDR	ENCSR000ECK	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				MAFK-human	DNA		see document	see document		False	2012-05-14	ENCODE				1, 2							ENCFF405VXR, ENCFF407WOE, ENCFF469INX	6105099	ENCODE Processing Pipeline	bfaf6f048461d6b69c7d6f9c8b7ee099		https://www.encodeproject.org/files/ENCFF742HOV/@@download/ENCFF742HOV.bed.gz	hg19			released	borderline replicate concordance, inconsistent target of control experiment, low read length, low read depth	biological replicates with identical biosample, inconsistent mapped reads lengths		
ENCFF254FTP	bed narrowPeak	peaks and background as input for IDR	ENCSR000ECK	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				MAFK-human	DNA		see document	see document		False	2012-05-14	ENCODE				2							ENCFF436WVQ, ENCFF490YHN	4573042	ENCODE Processing Pipeline	2b46ff26299ae4c1b8b10c8b4f334d55		https://www.encodeproject.org/files/ENCFF254FTP/@@download/ENCFF254FTP.bed.gz	GRCh38			released	borderline replicate concordance, inconsistent target of control experiment, low read length, low read depth	biological replicates with identical biosample, inconsistent mapped reads lengths		
ENCFF982XOA	bed narrowPeak	peaks and background as input for IDR	ENCSR000ECK	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				MAFK-human	DNA		see document	see document		False	2012-05-14	ENCODE				1							ENCFF161SWW, ENCFF436WVQ	5490499	ENCODE Processing Pipeline	323b8eed8b32ce2e3182d4ab1cb27c18		https://www.encodeproject.org/files/ENCFF982XOA/@@download/ENCFF982XOA.bed.gz	GRCh38			released	borderline replicate concordance, inconsistent target of control experiment, low read length, low read depth	biological replicates with identical biosample, inconsistent mapped reads lengths		
ENCFF328BUR	bed narrowPeak	peaks and background as input for IDR	ENCSR000ECK	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				MAFK-human	DNA		see document	see document		False	2012-05-14	ENCODE				1, 2							ENCFF161SWW, ENCFF436WVQ, ENCFF490YHN	3776170	ENCODE Processing Pipeline	e7c8db7597bce962814052a6f925e1a9		https://www.encodeproject.org/files/ENCFF328BUR/@@download/ENCFF328BUR.bed.gz	GRCh38			released	borderline replicate concordance, inconsistent target of control experiment, low read length, low read depth	biological replicates with identical biosample, inconsistent mapped reads lengths		
ENCFF314ZCZ	bed narrowPeak	conservative idr thresholded peaks	ENCSR000ECK	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				MAFK-human	DNA		see document	see document		False	2012-05-14	ENCODE				1, 2							ENCFF254FTP, ENCFF328BUR, ENCFF419RSJ, ENCFF982XOA	218796	ENCODE Processing Pipeline	896363a4b71db88dfd9cb40dc38eb22b		https://www.encodeproject.org/files/ENCFF314ZCZ/@@download/ENCFF314ZCZ.bed.gz	GRCh38			released	borderline replicate concordance, inconsistent target of control experiment, low read length, low read depth	biological replicates with identical biosample, inconsistent mapped reads lengths		
ENCFF328IZQ	bed narrowPeak	optimal idr thresholded peaks	ENCSR000ECK	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				MAFK-human	DNA		see document	see document		False	2012-05-14	ENCODE				1, 2							ENCFF254FTP, ENCFF328BUR, ENCFF419RSJ, ENCFF982XOA	303947	ENCODE Processing Pipeline	4ba8266a01518d9342c74cf2b8c05407		https://www.encodeproject.org/files/ENCFF328IZQ/@@download/ENCFF328IZQ.bed.gz	GRCh38			released	borderline replicate concordance, inconsistent target of control experiment, low read length, low read depth	biological replicates with identical biosample, inconsistent mapped reads lengths		
